submission_number,authorization_pathway,final_decision_date,decision_year,decision_quarter,device_name,company_name,fda_panel,primary_product_code,authorization_detail_matched,detail_device_name,detail_applicant,date_received,review_days,decision_code,decision_description,clearance_type,third_party_flag,expedited_review_flag,denovo_request_type,predetermined_change_control_plan_authorized,statement_or_summary_available,classification_name,device_class,regulation_number,medical_specialty,medical_specialty_description,review_panel,implant_flag,life_sustain_support_flag,gmp_exempt_flag,classification_third_party_flag,summary_malfunction_reporting,linked_recall_records,linked_recall_events,open_recall_records,closed_recall_records,first_recall_initiated_date,latest_recall_initiated_date,days_to_first_recall,has_linked_recall,recall_linkage_method,source_snapshot_date,fda_ai_list_url
K254207,510(k),2026-03-30,2026,Q1,AiORTA - Plan v2.0,"ViTAA Medical Solutions, Inc.",Radiology,QIH,1,AiORTA - Plan v2.0,"ViTAA Medical Solutions, Inc.",2025-12-29,91,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K252360,510(k),2026-03-28,2026,Q1,ECG-AI Pulmonary Hypertension (PH) 12-Lead algorithm (1020),"Anumana, Inc.",Cardiovascular,SAT,1,ECG-AI Pulmonary Hypertension (PH) 12-Lead algorithm (1020),"Anumana, Inc.",2025-07-29,242,SESE,Substantially Equivalent,Traditional,N,,,,1,Pulmonary Hypertension Machine Learning-Based Notification Software,2,870.2380,CV,Cardiovascular,CV,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K252148,510(k),2026-03-27,2026,Q1,Butterfly Gestational Age Tool,"Butterfly Network, Inc.",Radiology,IYN,1,Butterfly Gestational Age Tool,"Butterfly Network, Inc.",2025-07-09,261,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Imaging, Pulsed Doppler, Ultrasonic",2,892.1550,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253270,510(k),2026-03-27,2026,Q1,Contour ProtégéAI+,"Mim Software, Inc.",Radiology,QKB,1,Contour ProtégéAI+,"Mim Software, Inc.",2025-09-29,179,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiological Image Processing Software For Radiation Therapy,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253595,510(k),2026-03-27,2026,Q1,"EPIQ Series Diagnostic Ultrasound System, Affiniti Series Diagnostic Ultrasound System","Philips Ultrasound, LLC",Radiology,IYN,1,"EPIQ Series Diagnostic Ultrasound System, Affiniti Series Diagnostic Ultrasound System","Philips Ultrasound, LLC",2025-11-18,129,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Imaging, Pulsed Doppler, Ultrasonic",2,892.1550,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253625,510(k),2026-03-27,2026,Q1,"Vantage Fortian/Orian 1.5T, MRT-1550, V10.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH,1,"Vantage Fortian/Orian 1.5T, MRT-1550, V10.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,2025-11-18,129,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Nuclear Magnetic Resonance Imaging",2,892.1000,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253649,510(k),2026-03-27,2026,Q1,Spectral CT Verida Family,"Philips Medical Systems Technologies , Ltd.",Radiology,JAK,1,Spectral CT Verida Family,"Philips Medical Systems Technologies , Ltd.",2025-11-20,127,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K254161,510(k),2026-03-27,2026,Q1,Automated Aortic Stenosis Software (AutoAS),"GE Medical Systems Ultrasound & Primary Care Diagnostics, LLC",Radiology,POK,1,Automated Aortic Stenosis Software (AutoAS),"GE Medical Systems Ultrasound & Primary Care Diagnostics, LLC",2025-12-22,95,SESE,Substantially Equivalent,Traditional,N,,,,1,Computer-Assisted Diagnostic Software For Lesions Suspicious For Cancer,2,892.2060,RA,Radiology,RA,N,N,N,N,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K260746,510(k),2026-03-27,2026,Q1,S-scan Open (100001800),"Esaote, S.p.A.",Radiology,LNH,1,S-scan Open (100001800),"Esaote, S.p.A.",2026-03-06,21,SESE,Substantially Equivalent,Special,N,,,,1,"System, Nuclear Magnetic Resonance Imaging",2,892.1000,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253379,510(k),2026-03-26,2026,Q1,Stealth AXiS Cranial clinical application,"Medtronic Navigation, Inc.",Neurology,HAW,1,Stealth AXiS Cranial clinical application,"Medtronic Navigation, Inc.",2025-09-30,177,SESE,Substantially Equivalent,Traditional,N,,,,1,Neurological Stereotaxic Instrument,2,882.4560,NE,Neurology,NE,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253775,510(k),2026-03-26,2026,Q1,SwiftMR,"Airs Medical, Inc.",Radiology,QIH,1,SwiftMR,"Airs Medical, Inc.",2025-11-26,120,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253796,510(k),2026-03-26,2026,Q1,Lunit INSIGHT DBT (V1.2),"Lunit, Inc.",Radiology,QDQ,1,Lunit INSIGHT DBT (V1.2),"Lunit, Inc.",2025-11-28,118,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiological Computer Assisted Detection/Diagnosis Software For Lesions Suspicious For Cancer,2,892.2090,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K252099,510(k),2026-03-24,2026,Q1,Trinias,Shimadzu Corporation,Radiology,OWB,1,Trinias,Shimadzu Corporation,2025-07-03,264,SESE,Substantially Equivalent,Abbreviated,N,,,,1,Interventional Fluoroscopic X-Ray System,2,892.1650,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K252421,510(k),2026-03-24,2026,Q1,JLK-NCCT,"JLK, Inc.",Radiology,QAS,1,JLK-NCCT,"JLK, Inc.",2025-08-01,235,SESE,Substantially Equivalent,Traditional,N,,,,1,Radiological Computer-Assisted Triage And Notification Software,2,892.2080,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K260673,510(k),2026-03-24,2026,Q1,LOGIQ Vita; LOGIQ Vita Pro; LOGIQ Vita Express; LOGIQ Vita Plus; LOGIQ Vita Power; LOGIQ S20; LOGIQ S20 Pro; LOGIQ S20 Express; LOGIQ S20 Plus; LOGIQ S20 Power,GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN,1,LOGIQ Vita; LOGIQ Vita Pro; LOGIQ Vita Express; LOGIQ Vita Plus; LOGIQ Vita Power; LOGIQ S20; LOGIQ S20 Pro; LOGIQ S20 Express; LOGIQ S20 Plus; LOGIQ S20 Power,GE Medical Systems Ultrasound and Primary Care Diagnostics,2026-03-02,22,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Imaging, Pulsed Doppler, Ultrasonic",2,892.1550,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K252992,510(k),2026-03-23,2026,Q1,CT Rembra RT; CT Areta RT; CT Rembra,"Philips Healthcare (Suzhou) Co., Ltd.",Radiology,JAK,1,CT Rembra RT; CT Areta RT; CT Rembra,"Philips Healthcare (Suzhou) Co., Ltd.",2025-09-18,186,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253686,510(k),2026-03-23,2026,Q1,True Definition DL,Ge Healthcare Japan Corporation,Radiology,JAK,1,True Definition DL,Ge Healthcare Japan Corporation,2025-11-21,122,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253520,510(k),2026-03-20,2026,Q1,"Photonova Spectra, Photonova Spectra Select","Ge Medical Systems, LLC",Radiology,JAK,1,"Photonova Spectra, Photonova Spectra Select","Ge Medical Systems, LLC",2025-11-12,128,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
