primary_product_code,classification_name,device_class,regulation_number,medical_specialty,medical_specialty_description,review_panel,definition,implant_flag,life_sustain_support_flag,gmp_exempt_flag,classification_third_party_flag,summary_malfunction_reporting,ai_device_authorizations,linked_recall_records,first_ai_authorization_date,latest_ai_authorization_date,source_snapshot_date
QIH,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.",N,N,N,N,Ineligible,274,2,2019-11-13,2026-03-30,2026-07-31
LLZ,"System, Image Processing, Radiological",2,892.2050,RA,Radiology,RA,,N,N,N,Y,Eligible,160,12,2008-09-12,2025-11-03,2026-07-31
IYN,"System, Imaging, Pulsed Doppler, Ultrasonic",2,892.1550,RA,Radiology,RA,,N,N,N,Y,Eligible,116,34,2016-11-30,2026-03-27,2026-07-31
JAK,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,,N,N,N,Y,Eligible,101,29,2014-04-22,2026-03-27,2026-07-31
LNH,"System, Nuclear Magnetic Resonance Imaging",2,892.1000,RA,Radiology,RA,,N,N,N,Y,Eligible,99,96,2008-05-15,2026-03-27,2026-07-31
QAS,Radiological Computer-Assisted Triage And Notification Software,2,892.2080,RA,Radiology,RA,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .,N,N,N,N,Ineligible,83,0,2018-02-13,2026-03-24,2026-07-31
QKB,Radiological Image Processing Software For Radiation Therapy,2,892.2050,RA,Radiology,RA,"To provide semi-automatic or fully-automated radiological image processing and analysis tools for radiation therapy. Software implementing artificial intelligence (AI) including nonadaptive machine learning algorithms trained with clinical and/or artificial radiological images. In these devices, the algorithm training images  typically impact device performance. AI based radiological image processing software  is intended to be used in the workflow of radiation therapy.  Adaptive AI algorithms are not within the scope of this product code. Primary radiation dose calculation or plan optimization for treatment planning are not within scope of this product code.",N,N,N,N,Ineligible,44,0,2018-07-10,2026-03-27,2026-07-31
MYN,"Analyzer, Medical Image",2,892.2070,RA,Radiology,RA,"For information on the MYN device, please see:  https://www.federalregister.gov/documents/2020/01/22/2020-00494/radiology-devices-reclassification-of-medical-image-analyzers",N,N,N,N,Eligible,42,1,1998-06-26,2026-01-16,2026-07-31
QFM,Radiological Computer-Assisted Prioritization Software For Lesions,2,892.2080,RA,Radiology,RA,Radiological computer-assisted prioritization software for lesions is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems. The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification.,N,N,N,N,Ineligible,39,0,2019-03-08,2025-12-11,2026-07-31
MUJ,"System, Planning, Radiation Therapy Treatment",2,892.5050,RA,Radiology,RA,,N,N,N,N,Eligible,32,78,2019-06-19,2026-03-18,2026-07-31
