,address,lat,long,Cardiovascular: Electrophysiology,Thyroidectomy,Nuclear Medicine: Musculoskeletal,Central Line,Breast Reconstruction,Arthorcentesis,CT scan with contrast: Head and Neck,Radiation Treatment: Consult,Chemotherapy: Injection,Cardiovascular: Catheterization,Nuclear Medicine: Cardiovascular,Bone Study,X-ray: Chest,Ultrasound: Obstetrical,Hysterectomy,Cesarean Section without complications,Radiation Treatment: Dosimetry,Bowel Removal,Cataract,Cystoscopy Lithotripsy,Cardiovascular: Electrocardiography,Cardiovascular: Mobile Heart Monitoring,X-ray: Spine,Spinal laminectomy,Chemotherapy: IV infusion,CT scan: Abdomen/GI,Newborn care without complications,Spinal Tap,CT scan with contrast: Abdomen/GI,Nuclear Medicine: Endocrine,Radiation Treatment: Simulations & Film,MRI: Spine,PTCA,MRI with contrast: Extremities,MRI with contrast: Head and Neck,Radiation Treatment: IMRT,Coronary Bypass,Nuclear Medicine: GI,MRI with contrast: Abdomen/GI,Radiation Treatment: Devices,Gallbladder,Abdominal Drainage,Nerve Block,MRI with contrast: Spine,Newborn care with complications,Ultrasound,ORIF,MRI: Extremities,X-ray: Head and Neck,Mammography,Carpal Tunnel,Cardiovascular: Electrocardiography Stress Test,CT scan: Spine,Lesion Removal,Knee Replacement,Spinal injection,Knee Arthroscopy,CT scan with contrast: Chest,Hip Replacement,Spinal Fusion,Big Toe Surgery,Hernia Repair,Upper Endoscopy,Radiation Treatment: Delivery,X-ray: Extremities,CT scan: Extremities,X-ray: Abdomen/GI,Blood Transfusion,Mastectomy,Colonoscopy,CT scan: Head and Neck,Radiation Treatment: Guidance,MRI: Head and Neck,Cesarean Section with complications,Cardiovascular: Echocardiography,CT scan: Chest,Hysteroscopy,CVC Insertion,Breast Biopsy,Tonsillectomy
Mid-Columbia Medical Center,"1700 E 19th St, The Dalles, OR 97058, USA",45.5872096,-121.1648573,,,,,,,1986,611,131,,,356,290,204,,,1116,,,15135,77,,397,,401,974,8569,,2575,,858,1929,,,2705,3348,,,,1142,11075,,,,,573,,1491,,291,3483,,,,,,,990,,,,11997,2786,591,149,,255,,,2179,,,,,2078,,,,,
Asante Three Rivers Medical Center,"500 SW Ramsey Ave, Grants Pass, OR 97527, USA",42.4213625,-123.3429136,,,1384,,,931,986,447,,,4613,400,233,452,15233,13876,1214,42290,,12108,231,379,299,,,840,10355,,1447,,694,1138,,,1891,1934,,1388,,1214,10683,,,,23361,588,,1138,,344,4402,813,468,5572,34009,1655,7304,986,,,,7904,3127,744,233,,230,,13659,2939,468,,,,1595,468,6397,6704,3864,5434
Providence St Vincent Medical Center,"9205 SW Barnes Rd, Portland, OR 97225, USA",45.5104377,-122.7716281,39084,14045,593,22032,7133,655,506,136,,4558,1228,69,37,186,14101,13600,392,31077,5825,7313,185,382,68,11296,412,499,8179,16936,499,702,354,497,36030,721,569,1808,68233,810,959,305,8488,1924,,707,9956,,28354,721,78,,3950,282,239,4803,36261,1333,,480,36261,60593,5162,5826,3801,545,56,242,56,17331,5300,1597,506,683,569,19183,1354,242,4900,4900,3319,5180
Asante Ashland Community Hospital,"280 Maple St, Ashland, OR 97520, USA",42.2056499,-122.7248029,,,,,,,,,,,,422,241,753,,,,,,9389,248,1341,284,,,2280,10378,,3011,,,,,,,,,,,,,,2887,,,532,,,,319,,,,,,,6107,,,,,6594,3554,,241,,211,,,3556,1032,,,,1635,1408,,,3573,
Legacy Emanuel Medical Center,"2801 N Gantenbein Ave, Portland, OR 97227, USA",45.5441697,-122.6696851,48813,12222,,48628,,,1435,,376,10022,3042,185,186,469,11985,11444,,,,,133,278,297,15174,504,586,2360,17129,1062,,,1019,33526,,1387,,63294,1016,,,11131,,,2633,10511,416,30091,835,,301,,471,405,3778,,,7315,723,,36701,7315,8465,3672,,186,570,186,,,3437,433,,835,15733,1273,,,,,6599
OHSU Hospital,"3181 SW Sam Jackson Park Rd, Portland, OR 97239, USA",45.4989197,-122.6865638,34505,12203,925,25126,15907,636,903,352,465,7259,2108,232,220,364,20131,14779,1048,34429,4826,8481,149,557,261,14133,459,1750,8962,10749,1925,1026,507,1073,31361,1779,2029,1676,67954,1060,1919,887,23218,,1757,1812,11052,364,28369,1036,157,244,4323,426,774,1277,30931,1342,9596,590,30639,62145,7646,9219,2242,583,203,827,190,26818,13786,14528,728,531,833,17799,1270,590,5865,5908,3068,4975
Good Samaritan Regional Medical Center,"3600 NW Samaritan Dr, Corvallis, OR 97330, USA",44.6037908,-123.2523,40627,16109,1082,28054,,,1045,432,127,7772,3336,432,257,314,16018,18489,2567,38524,,10314,208,402,303,16951,331,835,3538,22504,1825,1085,405,1763,49811,1206,2004,1405,125304,1238,1856,456,11352,,,,11708,516,32983,1206,143,299,5694,485,496,,36844,,6637,1143,38713,57890,,12951,,549,222,496,230,20021,,,496,255,,23488,1312,496,8211,,,6242
Legacy Good Samaritan Medical Center,"1015 NW 22nd Ave, Portland, OR 97210, USA",45.5305586,-122.6982159,40627,16108,1015,28053,18441,1051,731,343,127,7771,3336,432,257,314,21473,11443,1306,38524,5580,10314,208,278,232,16951,331,835,9259,22504,1825,1125,508,835,49811,1206,2004,1787,125304,1015,1387,890,11352,,2268,1748,11708,434,32983,1206,143,300,5694,548,496,3187,36844,1802,6637,1143,38713,57890,8115,12951,,599,222,573,230,20021,15977,,343,255,835,15737,1312,343,8211,6862,3161,6242
Asante Rogue Regional Medical center,"2825 E Barnett Rd, Medford, OR 97504, USA",42.3176102,-122.8305829,42101,16916,1406,28648,,946,1001,817,,10777,4570,422,236,536,14337,13983,1970,40578,,,236,385,289,14420,,846,3164,25457,1470,1406,705,1302,43951,,1921,2137,92792,1406,1921,1174,11127,1716,,,11001,536,37345,1156,229,351,,813,476,,38755,1588,,1001,39156,73396,,8472,3151,755,238,476,226,27253,13875,2926,476,,1156,20046,1620,476,7257,7349,3621,
McKenzie-Willamette Medical Center,"1460 G St, Springfield, OR 97477, USA",44.0533822,-123.0031562,,,,,,,,,,13914,4544,,189,,17821,12296,,40180,,,229,374,164,,,714,2769,,998,,,1873,39243,,,,93455,1843,,,16490,2844,,,11193,443,,970,,,,1433,,,32785,,9821,818,32785,62554,9821,10661,2746,,189,,,,,2073,461,,1354,18021,1980,,8366,4173,,
